N,P,K,temperature,humidity,ph,rainfall,label
76.5,37.2,45.8,28.7,81.6,6.54,1715.4,rice
73.0,42.9,10.9,29.4,81.4,6.16,1632.6,rice
66.4,23.1,44.7,23.2,77.5,6.31,1609.4,rice
81.7,26.2,33.8,26.9,76.4,6.15,1766.9,rice
79.8,27.3,38.2,26.0,78.5,6.6,1677.1,rice
83.0,48.9,31.7,24.4,75.1,6.0,1802.2,rice
73.1,52.7,33.4,27.2,76.3,6.12,1674.7,rice
89.2,52.4,39.3,23.1,79.0,6.12,1831.0,rice
72.8,37.8,18.9,25.4,80.8,6.43,1672.7,rice
95.1,44.3,23.5,24.5,83.4,6.24,1953.1,rice
40.7,49.9,30.9,28.4,79.9,6.54,2134.5,rice
85.4,57.7,24.8,26.8,75.0,6.21,1772.9,rice
72.1,46.2,31.0,25.5,82.3,6.31,1624.6,rice
58.0,43.6,32.6,29.9,79.2,6.18,1574.5,rice
74.9,30.4,28.4,27.5,76.5,6.17,1691.4,rice
78.9,17.0,29.7,28.5,80.4,6.3,2221.5,rice
79.5,26.0,41.4,27.7,79.5,6.31,2365.8,rice
59.0,47.0,51.9,29.4,77.7,6.51,1947.8,rice
56.7,40.8,19.4,25.0,80.2,6.16,1608.4,rice
75.2,49.8,17.7,28.7,83.9,6.1,1520.1,rice
83.9,49.4,17.6,28.1,76.0,6.28,2076.8,rice
85.2,31.8,32.3,24.2,80.7,6.3,1880.5,rice
62.1,47.9,20.3,28.2,84.7,6.34,1571.4,rice
86.2,49.9,49.0,29.5,77.9,6.43,2039.6,rice
78.8,44.1,32.8,26.9,77.8,6.1,1561.6,rice
120.8,47.5,21.4,29.6,83.6,6.2,1753.3,rice
87.1,39.1,21.5,24.8,79.4,6.38,1870.6,rice
61.3,42.1,33.9,23.7,82.1,6.29,1638.4,rice
85.4,46.7,40.8,25.3,80.1,6.04,1788.4,rice
87.7,46.2,68.5,30.1,77.7,6.35,1405.6,rice
75.3,49.1,22.3,28.9,82.4,6.37,2033.9,rice
52.0,48.2,13.9,26.9,80.2,6.68,1628.7,rice
69.3,48.2,22.7,26.3,80.2,6.05,2022.2,rice
89.5,15.7,31.9,28.0,78.4,6.65,1761.4,rice
87.6,50.4,18.0,25.8,78.0,6.23,1963.1,rice
86.1,24.9,39.2,26.7,78.4,6.58,1631.3,rice
99.0,31.5,34.4,32.8,76.2,6.16,2008.1,rice
64.6,23.0,17.5,29.4,79.9,5.64,1518.3,rice
101.6,22.8,41.6,31.6,78.9,6.27,1392.5,rice
71.0,40.8,26.1,27.5,81.2,6.29,1504.6,rice
112.0,16.6,28.5,27.8,84.0,6.02,1915.5,rice
72.6,32.9,38.5,29.0,78.4,6.21,1820.2,rice
92.2,47.6,21.7,28.4,82.2,6.31,1576.8,rice
81.8,55.3,24.1,26.1,81.5,6.25,1936.8,rice
92.4,49.8,43.1,28.9,79.5,6.46,1699.5,rice
78.0,41.2,36.0,27.6,79.2,6.31,1920.5,rice
97.4,49.5,36.2,25.5,77.5,6.02,2273.1,rice
69.8,51.7,28.5,29.1,77.8,6.26,1746.9,rice
67.7,42.9,32.4,25.4,81.0,6.14,1669.7,rice
58.9,19.3,27.9,26.2,80.6,5.98,1632.2,rice
79.7,28.0,29.8,28.3,82.1,6.22,2118.8,rice
103.0,38.7,34.0,26.8,77.9,6.35,1830.7,rice
81.5,30.7,30.2,29.2,80.6,6.25,1649.7,rice
68.5,50.5,31.8,28.7,82.4,6.65,2112.8,rice
48.1,33.7,22.4,33.0,77.9,6.14,1547.9,rice
71.3,29.2,34.9,27.9,84.7,6.43,1835.4,rice
54.3,56.2,28.9,24.2,82.9,6.16,2207.9,rice
80.7,34.6,36.2,30.6,78.5,6.25,1351.4,rice
90.7,26.5,14.7,24.8,80.3,6.35,1714.4,rice
81.7,54.2,30.7,30.7,78.1,6.54,1833.1,rice
89.7,56.4,20.4,32.7,79.4,6.43,2188.8,rice
49.4,36.8,37.2,29.2,75.6,6.03,2014.6,rice
54.4,24.6,33.8,31.3,84.1,5.99,1768.5,rice
90.0,44.4,20.6,27.4,79.8,6.01,1233.1,rice
65.2,46.0,24.7,26.2,79.8,6.43,1485.2,rice
62.0,63.6,30.4,25.5,77.4,6.15,1723.2,rice
